frame,x,y,w,h,cx,cy
62,244,102,16,16,252,110
63,244,246,18,17,253,254
63,96,176,24,16,108,184
63,48,176,22,14,59,183
63,455,174,21,14,465,181
63,170,174,22,16,181,182
63,528,170,22,16,539,178
63,107,118,22,13,118,124
63,244,102,16,16,252,110
64,244,246,18,17,253,254
64,96,176,24,16,108,184
64,48,176,22,14,59,183
64,455,174,21,14,465,181
64,170,174,22,16,181,182
64,528,170,22,16,539,178
64,107,118,22,13,118,124
64,244,102,16,16,252,110
65,244,246,18,17,253,254
65,96,176,24,16,108,184
65,48,176,22,14,59,183
65,455,174,21,14,465,181
65,170,174,22,16,181,182
65,528,170,22,16,539,178
65,107,118,22,13,118,124
65,244,102,16,16,252,110
66,244,246,18,17,253,254
66,96,176,24,16,108,184
66,48,176,22,14,59,183
66,455,174,21,14,465,181
66,170,174,22,16,181,182
66,528,170,22,16,539,178
66,107,118,22,13,118,124
66,244,102,16,16,252,110
67,244,246,18,17,253,254
67,96,176,24,16,108,184
67,48,176,22,14,59,183
67,455,174,21,14,465,181
67,170,174,22,16,181,182
67,528,170,22,16,539,178
67,107,118,22,13,118,124
67,244,102,16,16,252,110
68,244,246,18,17,253,254
68,96,176,24,16,108,184
68,48,176,22,14,59,183
68,455,174,21,14,465,181
68,170,174,22,16,181,182
68,528,170,22,16,539,178
68,107,118,22,13,118,124
68,244,102,16,16,252,110
69,244,246,18,17,253,254
69,96,176,24,16,108,184
69,48,176,22,14,59,183
69,455,174,21,14,465,181
69,170,174,22,16,181,182
69,528,170,22,16,539,178
69,107,118,22,13,118,124
69,244,102,16,16,252,110
70,244,246,18,17,253,254
70,96,176,24,16,108,184
70,48,176,22,14,59,183
70,455,174,21,14,465,181
70,170,174,22,16,181,182
70,528,170,22,16,539,178
70,107,118,22,13,118,124
70,244,102,16,16,252,110
71,244,246,18,17,253,254
71,96,176,24,16,108,184
71,48,176,22,14,59,183
71,455,174,21,14,465,181
71,170,174,22,16,181,182
71,528,170,22,16,539,178
71,107,118,22,13,118,124
71,244,102,16,16,252,110
