frame,track_id,x,y,w,h,cx,cy
76,2,96,176,24,16,108,184
76,3,48,176,22,14,59,183
76,4,454,174,21,14,465,181
76,5,170,174,22,16,181,182
76,6,528,170,22,16,539,178
76,7,107,118,22,13,118,124
76,8,244,102,16,16,252,110
77,1,244,246,18,17,253,254
77,2,96,176,24,16,108,184
77,3,48,176,22,14,59,183
77,4,454,174,21,14,465,181
77,5,170,174,22,16,181,182
77,6,528,170,22,16,539,178
77,7,107,118,22,13,118,124
77,8,244,102,16,16,252,110
78,1,244,246,18,17,253,254
78,2,96,176,24,16,108,184
78,3,48,176,22,14,59,183
78,4,454,174,21,14,465,181
78,5,170,174,22,16,181,182
78,6,528,170,22,16,539,178
78,7,107,118,22,13,118,124
78,8,244,102,16,16,252,110
79,1,244,246,18,17,253,254
79,2,96,176,24,16,108,184
79,3,48,176,22,14,59,183
79,4,454,174,21,14,465,181
79,5,170,174,22,16,181,182
79,6,528,170,22,16,539,178
79,7,107,118,22,13,118,124
79,8,244,102,16,16,252,110
80,1,244,246,18,17,253,254
80,2,96,176,24,16,108,184
80,3,48,176,22,14,59,183
80,4,454,174,21,14,465,181
80,5,170,174,22,16,181,182
80,6,528,170,22,16,539,178
80,7,107,118,22,13,118,124
80,8,244,102,16,16,252,110
80,10,383,248,14,14,390,255
81,1,244,246,18,17,253,254
81,2,96,176,24,16,108,184
81,3,48,176,22,14,59,183
81,4,454,174,21,14,465,181
81,5,170,174,22,16,181,182
81,6,528,170,22,16,539,178
81,7,107,118,22,13,118,124
81,8,244,102,16,16,252,110
81,10,383,248,14,14,390,255
82,1,244,246,18,17,253,254
82,2,96,176,24,16,108,184
82,3,48,176,22,14,59,183
82,4,454,174,21,14,465,181
82,5,170,174,22,16,181,182
82,6,528,170,22,16,539,178
82,7,107,118,22,13,118,124
82,8,244,102,16,16,252,110
82,10,383,248,14,14,390,255
83,1,244,246,18,17,253,254
83,2,96,176,24,16,108,184
83,3,48,176,22,14,59,183
83,4,454,174,21,14,465,181
83,5,170,174,22,16,181,182
83,6,528,170,22,16,539,178
83,7,107,118,22,13,118,124
83,8,244,102,16,16,252,110
83,10,383,248,14,14,390,255
84,1,244,246,18,17,253,254
84,2,96,176,24,16,108,184
84,3,48,176,22,14,59,183
84,4,454,174,21,14,465,181
84,5,170,174,22,16,181,182
84,6,528,170,22,16,539,178
84,7,107,118,22,13,118,124
84,8,244,102,16,16,252,110
84,10,383,248,14,14,390,255
85,1,244,246,18,17,253,254
85,2,96,176,24,16,108,184
85,3,48,176,22,14,59,183
85,4,454,174,21,14,465,181
85,5,170,174,22,16,181,182
85,6,528,170,22,16,539,178
85,7,107,118,22,13,118,124
85,8,244,102,16,16,252,110
85,10,383,248,14,14,390,255
86,1,244,246,18,17,253,254
86,2,96,176,24,16,108,184
86,3,48,176,22,14,59,183
86,4,454,174,21,14,465,181
86,5,170,174,22,16,181,182
86,6,528,170,22,16,539,178
86,7,107,118,22,13,118,124
86,8,244,102,16,16,252,110
86,10,383,248,14,14,390,255
87,1,244,246,18,17,253,254
87,2,96,176,24,16,108,184
87,3,48,176,22,14,59,183
87,4,454,174,21,14,465,181
87,5,170,174,22,16,181,182
87,6,528,170,22,16,539,178
87,7,107,118,22,13,118,124
87,8,244,102,16,16,252,110
87,10,383,248,14,14,390,255
88,1,244,246,18,17,253,254
88,2,96,176,24,16,108,184
88,3,48,176,22,14,59,183
88,4,454,174,21,14,465,181
88,5,170,174,22,16,181,182
88,6,528,170,22,16,539,178
88,7,107,118,22,13,118,124
88,8,244,102,16,16,252,110
88,10,383,248,14,14,390,255
89,1,244,246,18,17,253,254
89,2,96,176,24,16,108,184
89,3,48,176,22,14,59,183
89,4,454,174,21,14,465,181
89,5,170,174,22,16,181,182
89,6,528,170,22,16,539,178
89,7,107,118,22,13,118,124
89,8,244,102,16,16,252,110
89,10,383,248,14,14,390,255
90,1,244,246,18,17,253,254
90,2,96,176,24,16,108,184
90,3,48,176,22,14,59,183
90,4,454,174,21,14,465,181
90,5,170,174,22,16,181,182
90,6,528,170,22,16,539,178
90,7,107,118,22,13,118,124
90,8,244,102,16,16,252,110
90,10,383,248,14,14,390,255
91,1,244,246,18,17,253,254
91,2,96,176,24,16,108,184
91,3,48,176,22,14,59,183
91,4,454,174,21,14,465,181
91,5,170,174,22,16,181,182
91,6,528,170,22,16,539,178
91,7,107,118,22,13,118,124
91,8,244,102,16,16,252,110
92,1,244,246,18,17,253,254
92,2,96,176,24,16,108,184
92,3,48,176,22,14,59,183
92,4,454,174,21,14,465,181
92,5,170,174,22,16,181,182
92,6,528,170,22,16,539,178
92,7,107,118,22,13,118,124
92,8,244,102,16,16,252,110
93,1,244,246,18,17,253,254
93,2,96,176,24,16,108,184
93,3,48,176,22,14,59,183
93,4,454,174,21,14,465,181
93,5,170,174,22,16,181,182
93,6,528,170,22,16,539,178
93,7,107,118,22,13,118,124
93,8,244,102,16,16,252,110
94,1,244,246,18,17,253,254
94,2,96,176,24,16,108,184
94,3,48,176,22,14,59,183
94,4,454,174,21,14,465,181
94,5,170,174,22,16,181,182
94,6,528,170,22,16,539,178
94,7,107,118,22,13,118,124
94,8,244,102,16,16,252,110
95,1,244,246,18,17,253,254
95,2,96,176,24,16,108,184
95,3,48,176,22,14,59,183
95,4,454,174,21,14,465,181
95,5,170,174,22,16,181,182
95,6,528,170,22,16,539,178
95,7,107,118,22,13,118,124
95,8,244,102,16,16,252,110
96,1,244,246,18,17,253,254
96,2,96,176,24,16,108,184
96,3,48,176,22,14,59,183
96,4,454,174,21,14,465,181
96,5,170,174,22,16,181,182
96,6,528,170,22,16,539,178
96,7,107,118,22,13,118,124
96,8,244,102,16,16,252,110
97,1,244,246,18,17,253,254
97,2,96,176,24,16,108,184
97,3,48,176,22,14,59,183
97,4,454,174,21,14,465,181
97,5,170,174,22,16,181,182
97,6,528,170,22,16,539,178
97,7,107,118,22,13,118,124
97,8,244,102,16,16,252,110
98,1,244,246,18,17,253,254
98,2,96,176,24,16,108,184
98,3,48,176,22,14,59,183
98,4,454,174,21,14,465,181
98,5,170,174,22,16,181,182
98,6,528,170,22,16,539,178
98,7,107,118,22,13,118,124
98,8,244,102,16,16,252,110
99,1,244,246,18,17,253,254
99,2,96,176,24,16,108,184
99,3,48,176,22,14,59,183
99,4,454,174,21,14,465,181
99,5,170,174,22,16,181,182
99,6,528,170,22,16,539,178
99,7,107,118,22,13,118,124
99,8,244,102,16,16,252,110
100,1,244,246,18,17,253,254
100,2,96,176,24,16,108,184
100,3,48,176,22,14,59,183
100,4,454,174,21,14,465,181
100,5,170,174,22,16,181,182
100,6,528,170,22,16,539,178
100,7,107,118,22,13,118,124
100,8,244,102,16,16,252,110
101,1,244,246,18,17,253,254
101,2,96,176,24,16,108,184
101,3,48,176,22,14,59,183
101,4,454,174,21,14,465,181
101,5,170,174,22,16,181,182
101,6,528,170,22,16,539,178
101,7,107,118,22,13,118,124
101,8,244,102,16,16,252,110
101,11,383,248,14,14,390,255
102,1,244,246,18,17,253,254
102,2,96,176,24,16,108,184
102,3,48,176,22,14,59,183
102,4,454,174,21,14,465,181
102,5,170,174,22,16,181,182
102,6,528,170,22,16,539,178
102,7,107,118,22,13,118,124
102,8,244,102,16,16,252,110
102,11,383,248,14,14,390,255
103,1,244,246,18,17,253,254
103,2,96,176,24,16,108,184
103,3,48,176,22,14,59,183
103,4,454,174,21,14,465,181
103,5,170,174,22,16,181,182
103,6,528,170,22,16,539,178
103,7,107,118,22,13,118,124
103,8,244,102,16,16,252,110
103,11,383,248,14,14,390,255
104,1,244,246,18,17,253,254
104,2,96,176,24,16,108,184
104,3,48,176,22,14,59,183
104,4,454,174,21,14,465,181
104,5,170,174,22,16,181,182
104,6,528,170,22,16,539,178
104,7,107,118,22,13,118,124
104,8,244,102,16,16,252,110
104,11,383,248,14,14,390,255
105,1,244,246,18,17,253,254
105,2,96,176,24,16,108,184
105,3,48,176,22,14,59,183
